Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05378;Rheinisch-Bergischer Kreis;283429
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05382;Rhein-Sieg-Kreis;600732
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05512;Bottrop, kreisfreie Stadt;117311
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05513;Gelsenkirchen, kreisfreie Stadt;260126
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05515;Münster, kreisfreie Stadt;317713
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05554;Borken, Landkreis;373582
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05558;Coesfeld, Landkreis;221352
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05562;Recklinghausen, Landkreis;612801
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05566;Steinfurt, Landkreis;450176
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05570;Warendorf, Landkreis;278176
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05711;Bielefeld, kreisfreie Stadt;334002
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05754;Gütersloh, Landkreis;366104
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05758;Herford, Landkreis;250635
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05762;Höxter, Landkreis;139994
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05766;Lippe, Landkreis;346151
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05770;Minden-Lübbecke, Landkreis;311214
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05774;Paderborn, Landkreis;309380
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05911;Bochum, kreisfreie Stadt;363441
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05913;Dortmund, kreisfreie Stadt;586852
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05914;Hagen, kreisfreie Stadt;188713
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05915;Hamm, kreisfreie Stadt;179238
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05916;Herne, kreisfreie Stadt;156621
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05954;Ennepe-Ruhr-Kreis;322143
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05958;Hochsauerlandkreis;258615
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05962;Märkischer Kreis;406793
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05966;Olpe, Landkreis;133120
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05970;Siegen-Wittgenstein, Landkreis;274342
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;05974;Soest, Landkreis;302298
