regionID,zipCode,city,lat,lon
205,20001,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975
206,15150,BAYO GRANDE,43.148,-8.9311
207,32689,CUALEDRO,41.989,-7.5735
208,16622,PINAREJO,39.6164,-2.4259
209,4860,OLULA DEL RIO,37.35,-2.3
210,19001,GUADALAJARA,40.6286,-3.1618
211,14700,PALMA DEL RIO,37.7002,-5.281199999999999
212,41460,"NAVAS DE LA CONCEPCION, LAS",37.9333,-5.4667
213,4890,SERON,37.3449,-2.5091
214,12580,BENICARLO,40.4165,0.4271
215,45570,PUENTE DEL ARZOBISPO (EL,39.8017,-5.1718
216,50400,CARIÑENA,41.3373,-1.2244
217,25620,TREMP,42.167,0.8949
218,5100,NAVALUENGA,40.4112,-4.709
219,5461,MIJARES,40.2965,-4.8365
220,5530,MUÑOGALINDO,40.586,-4.902033333333333
221,25680,VALLFOGONA DE BALAGUER,41.7521,0.8138
222,5220,MADRIGAL DE LAS ALTAS TO,41.0897,-5.00905
223,5230,NAVAS DEL MARQUES (LAS),40.6024,-4.3345
224,15980,PADRON,42.7108,-8.744699999999998
225,14600,MONTORO,38.219,-2.9807
226,5268,HERRADON DE PINARES,40.5427,-4.5804
227,5005,AVILA,40.6572,-4.6995
228,50580,VERA DE MONCAYO,41.824,-1.6880000000000002
229,19180,MARCHAMALO,40.6668,-3.1991
230,5350,SAN PEDRO DEL ARROYO,40.7765,-4.8746
231,34230,TORQUEMADA,42.0349,-4.3184
232,45620,MONTESCLAROS,40.1065,-4.9385
233,24230,VALDEVIMBRE,42.4196,-5.6198
234,18700,ALBUÑOL,36.792,-3.205
235,25320,ANGLESOLA,41.6565,1.0829
236,15293,CARNOTA,42.833,-9.0901
237,45350,NOBLEJAS,39.9806,-3.44
238,41550,AGUADULCE,37.298,-5.0998
239,10470,VILLANUEVA DE LA VERA,40.13,-5.4625
240,5593,LAS NAVAS,40.4117,-5.398716666666666
241,18013,GRANADA,37.1882,-3.6067
242,29009,MALAGA,36.7202,-4.4203
243,37740,SANTIBAÑEZ DE BEJAR,40.4879,-5.6111
244,28050,MADRID,40.4165,-3.7026
245,5415,HORNILLO (EL),40.2499,-5.1036
