Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
08231;Pforzheim, Stadtkreis;Personen;Anzahl;133110;e
08235;Calw;Personen;Anzahl;159421;e
08236;Enzkreis;Personen;Anzahl;197899;e
08237;Freudenstadt;Personen;Anzahl;120401;e
08311;Freiburg im Breisgau, Stadtkreis;Personen;Anzahl;233040;e
08315;Breisgau-Hochschwarzwald;Personen;Anzahl;268937;e
08316;Emmendingen;Personen;Anzahl;166850;e
08317;Ortenaukreis;Personen;Anzahl;437242;e
08325;Rottweil;Personen;Anzahl;138933;e
08326;Schwarzwald-Baar-Kreis;Personen;Anzahl;210596;e
08327;Tuttlingen;Personen;Anzahl;142895;e
08335;Konstanz;Personen;Anzahl;287451;e
08336;Lörrach;Personen;Anzahl;233949;e
08337;Waldshut;Personen;Anzahl;170100;e
08415;Reutlingen;Personen;Anzahl;289654;e
08416;Tübingen;Personen;Anzahl;229642;e
08417;Zollernalbkreis;Personen;Anzahl;191793;e
08421;Ulm, Stadtkreis;Personen;Anzahl;127116;e
08425;Alb-Donau-Kreis;Personen;Anzahl;198553;e
08426;Biberach;Personen;Anzahl;203323;e
08435;Bodenseekreis;Personen;Anzahl;218476;e
08436;Ravensburg;Personen;Anzahl;285421;e
08437;Sigmaringen;Personen;Anzahl;131515;e
09161;Ingolstadt;Personen;Anzahl;136468;e
09162;München, Landeshauptstadt;Personen;Anzahl;1478638;e
09163;Rosenheim, Kreisfreie Stadt;Personen;Anzahl;63284;e
09171;Altötting;Personen;Anzahl;111881;e
09172;Berchtesgadener Land;Personen;Anzahl;103867;e
09173;Bad Tölz-Wolfratshausen;Personen;Anzahl;129131;e
09174;Dachau;Personen;Anzahl;150689;e
09175;Ebersberg;Personen;Anzahl;141747;e
09176;Eichstätt;Personen;Anzahl;133409;e
09177;Erding;Personen;Anzahl;137644;e
09178;Freising;Personen;Anzahl;180064;e
09179;Fürstenfeldbruck;Personen;Anzahl;214553;e
09180;Garmisch-Partenkirchen;Personen;Anzahl;89200;e
09181;Landsberg am Lech;Personen;Anzahl;119086;e
09182;Miesbach;Personen;Anzahl;96154;e
09183;Mühldorf a.Inn;Personen;Anzahl;119652;e
09184;München, Landkreis;Personen;Anzahl;348611;e
09185;Neuburg-Schrobenhausen;Personen;Anzahl;97166;e
09186;Pfaffenhofen a.d.Ilm;Personen;Anzahl;127528;e
09187;Rosenheim, Landkreis;Personen;Anzahl;254051;e
09188;Starnberg;Personen;Anzahl;138325;e
09189;Traunstein;Personen;Anzahl;170443;e
09190;Weilheim-Schongau;Personen;Anzahl;136598;e
09261;Landshut, Kreisfreie Stadt;Personen;Anzahl;67880;e
09262;Passau, Kreisfreie Stadt;Personen;Anzahl;51907;e
09263;Straubing;Personen;Anzahl;46167;e
09271;Deggendorf;Personen;Anzahl;119231;e
09272;Freyung-Grafenau;Personen;Anzahl;77917;e
09273;Kelheim;Personen;Anzahl;123830;e
09274;Landshut, Landkreis;Personen;Anzahl;159168;e
09275;Passau, Landkreis;Personen;Anzahl;191740;e
09276;Regen;Personen;Anzahl;77243;e
09277;Rottal-Inn;Personen;Anzahl;118818;e
09278;Straubing-Bogen;Personen;Anzahl;102067;e
09279;Dingolfing-Landau;Personen;Anzahl;98561;e
09361;Amberg;Personen;Anzahl;41876;e
09362;Regensburg, Kreisfreie Stadt;Personen;Anzahl;145901;e
09363;Weiden i.d.OPf.;Personen;Anzahl;42047;e
09371;Amberg-Sulzbach;Personen;Anzahl;103243;e
09372;Cham;Personen;Anzahl;126660;e
09373;Neumarkt i.d.OPf.;Personen;Anzahl;136136;e
09374;Neustadt a.d.Waldnaab;Personen;Anzahl;95187;e
09375;Regensburg, Landkreis;Personen;Anzahl;190526;e
09376;Schwandorf;Personen;Anzahl;147256;e
09377;Tirschenreuth;Personen;Anzahl;72531;e
09461;Bamberg, Kreisfreie Stadt;Personen;Anzahl;72764;e
09462;Bayreuth, Kreisfreie Stadt;Personen;Anzahl;72289;e
09463;Coburg, Kreisfreie Stadt;Personen;Anzahl;40296;e
09464;Hof, Kreisfreie Stadt;Personen;Anzahl;45598;e
09471;Bamberg, Landkreis;Personen;Anzahl;146853;e
09472;Bayreuth, Landkreis;Personen;Anzahl;102845;e
09473;Coburg, Landkreis;Personen;Anzahl;84106;e
09474;Forchheim;Personen;Anzahl;114933;e
09475;Hof, Landkreis;Personen;Anzahl;92878;e
09476;Kronach;Personen;Anzahl;65099;e
09477;Kulmbach;Personen;Anzahl;71505;e
09478;Lichtenfels;Personen;Anzahl;67373;e
09479;Wunsiedel i.Fichtelgebirge;Personen;Anzahl;70884;e
09561;Ansbach, Kreisfreie Stadt;Personen;Anzahl;39601;e
09562;Erlangen;Personen;Anzahl;112220;e
09563;Fürth, Kreisfreie Stadt;Personen;Anzahl;130126;e
09564;Nürnberg;Personen;Anzahl;522554;e
09565;Schwabach;Personen;Anzahl;40865;e
09571;Ansbach, Landkreis;Personen;Anzahl;185708;e
09572;Erlangen-Höchstadt;Personen;Anzahl;137484;e
09573;Fürth, Landkreis;Personen;Anzahl;117191;e
09574;Nürnberger Land;Personen;Anzahl;168700;e
09575;Neustadt a.d.Aisch-Bad Windsheim;Personen;Anzahl;100023;e
09576;Roth;Personen;Anzahl;127255;e
09577;Weißenburg-Gunzenhausen;Personen;Anzahl;94124;e
09661;Aschaffenburg, Kreisfreie Stadt;Personen;Anzahl;71692;e
09662;Schweinfurt, Kreisfreie Stadt;Personen;Anzahl;53242;e
09663;Würzburg, Kreisfreie Stadt;Personen;Anzahl;131316;e
09671;Aschaffenburg, Landkreis;Personen;Anzahl;170549;e
09672;Bad Kissingen;Personen;Anzahl;103047;e
09673;Rhön-Grabfeld;Personen;Anzahl;79114;e
09674;Haßberge;Personen;Anzahl;83123;e
09675;Kitzingen;Personen;Anzahl;90400;e
09676;Miltenberg;Personen;Anzahl;126496;e
09677;Main-Spessart;Personen;Anzahl;125045;e
09678;Schweinfurt, Landkreis;Personen;Anzahl;114486;e
09679;Würzburg, Landkreis;Personen;Anzahl;159854;e
09761;Augsburg, Kreisfreie Stadt;Personen;Anzahl;294647;e
09762;Kaufbeuren;Personen;Anzahl;45186;e
09763;Kempten (Allgäu);Personen;Anzahl;65050;e
09764;Memmingen;Personen;Anzahl;43300;e
09771;Aichach-Friedberg;Personen;Anzahl;134361;e
09772;Augsburg, Landkreis;Personen;Anzahl;258116;e
09773;Dillingen a.d.Donau;Personen;Anzahl;96914;e
09774;Günzburg;Personen;Anzahl;127608;e
09775;Neu-Ulm;Personen;Anzahl;178576;e
09776;Lindau (Bodensee);Personen;Anzahl;81771;e
09777;Ostallgäu;Personen;Anzahl;139750;e
09778;Unterallgäu;Personen;Anzahl;142261;e
09779;Donau-Ries;Personen;Anzahl;133399;e
09780;Oberallgäu;Personen;Anzahl;152066;e
10041;Regionalverband Saarbrücken;Personen;Anzahl;329138;e
10042;Merzig-Wadern;Personen;Anzahl;108960;e
10043;Neunkirchen;Personen;Anzahl;132824;e
10044;Saarlouis;Personen;Anzahl;204475;e
10045;Saarpfalz-Kreis;Personen;Anzahl;143834;e
10046;St. Wendel;Personen;Anzahl;87633;e
11000;Berlin, Stadt;Personen;Anzahl;3596999;e
12051;Brandenburg an der Havel, Stadt;Personen;Anzahl;73552;e
12052;Cottbus, Stadt;Personen;Anzahl;93926;e
12053;Frankfurt (Oder), Stadt;Personen;Anzahl;55841;e
12054;Potsdam, Stadt;Personen;Anzahl;182806;e
12060;Barnim;Personen;Anzahl;190278;e
12061;Dahme-Spreewald;Personen;Anzahl;175251;e
12062;Elbe-Elster;Personen;Anzahl;98980;e
12063;Havelland;Personen;Anzahl;167305;e
12064;Märkisch-Oderland;Personen;Anzahl;196118;e
12065;Oberhavel;Personen;Anzahl;216097;e
12066;Oberspreewald-Lausitz;Personen;Anzahl;109208;e
12067;Oder-Spree;Personen;Anzahl;178238;e
12068;Ostprignitz-Ruppin;Personen;Anzahl;98999;e
12069;Potsdam-Mittelmark;Personen;Anzahl;218536;e
12070;Prignitz;Personen;Anzahl;76341;e
12071;Spree-Neiße;Personen;Anzahl;111130;e
12072;Teltow-Fläming;Personen;Anzahl;173560;e
12073;Uckermark;Personen;Anzahl;117909;e
13003;Rostock;Personen;Anzahl;203470;e
13004;Schwerin;Personen;Anzahl;96447;e
13071;Mecklenburgische Seenplatte;Personen;Anzahl;247514;e
13072;Landkreis Rostock;Personen;Anzahl;216849;e
13073;Vorpommern-Rügen;Personen;Anzahl;215741;e
13074;Nordwestmecklenburg;Personen;Anzahl;156503;e
13075;Vorpommern-Greifswald;Personen;Anzahl;225469;e
13076;Ludwigslust-Parchim;Personen;Anzahl;208824;e
14511;Chemnitz, Stadt;Personen;Anzahl;240078;e
14521;Erzgebirgskreis;Personen;Anzahl;324874;e
14522;Mittelsachsen;Personen;Anzahl;297712;e
14523;Vogtlandkreis;Personen;Anzahl;221459;e
14524;Zwickau;Personen;Anzahl;310249;e
14612;Dresden, Stadt;Personen;Anzahl;557782;e
14625;Bautzen;Personen;Anzahl;296168;e
14626;Görlitz;Personen;Anzahl;247014;e
14627;Meißen;Personen;Anzahl;240414;e
14628;Sächsische Schweiz-Osterzgebirge;Personen;Anzahl;244202;e
14713;Leipzig, Stadt;Personen;Anzahl;598899;e
14729;Leipzig;Personen;Anzahl;259190;e
14730;Nordsachsen;Personen;Anzahl;200090;e
15001;Dessau-Roßlau, Stadt;Personen;Anzahl;75938;e
15002;Halle (Saale), Stadt;Personen;Anzahl;226586;e
15003;Magdeburg, Landeshauptstadt;Personen;Anzahl;241517;e
15081;Altmarkkreis Salzwedel;Personen;Anzahl;81159;e
15082;Anhalt-Bitterfeld;Personen;Anzahl;154059;e
15083;Börde;Personen;Anzahl;168411;e
15084;Burgenlandkreis;Personen;Anzahl;174746;e
15085;Harz;Personen;Anzahl;207617;e
15086;Jerichower Land;Personen;Anzahl;88710;e
15087;Mansfeld-Südharz;Personen;Anzahl;131514;e
15088;Saalekreis;Personen;Anzahl;181788;e
15089;Salzlandkreis;Personen;Anzahl;184199;e
15090;Stendal;Personen;Anzahl;107250;e
15091;Wittenberg;Personen;Anzahl;122949;e
16051;Erfurt, Stadt;Personen;Anzahl;218200;e
16052;Gera, Stadt;Personen;Anzahl;93120;e
16053;Jena, Stadt;Personen;Anzahl;110369;e
16054;Suhl, Stadt;Personen;Anzahl;35410;e
16055;Weimar, Stadt;Personen;Anzahl;65494;e
16061;Eichsfeld;Personen;Anzahl;98861;e
16062;Nordhausen;Personen;Anzahl;81415;e
16063;Wartburgkreis;Personen;Anzahl;156674;e
16064;Unstrut-Hainich-Kreis;Personen;Anzahl;100069;e
16065;Kyffhäuserkreis;Personen;Anzahl;72556;e
16066;Schmalkalden-Meiningen;Personen;Anzahl;121525;e
16067;Gotha;Personen;Anzahl;136959;e
16068;Sömmerda;Personen;Anzahl;67792;e
16069;Hildburghausen;Personen;Anzahl;61411;e
16070;Ilm-Kreis;Personen;Anzahl;106164;e
16071;Weimarer Land;Personen;Anzahl;82691;e
16072;Sonneberg;Personen;Anzahl;56251;e
16073;Saalfeld-Rudolstadt;Personen;Anzahl;101106;e
16074;Saale-Holzland-Kreis;Personen;Anzahl;83347;e
16075;Saale-Orla-Kreis;Personen;Anzahl;78378;e
16076;Greiz;Personen;Anzahl;95217;e
16077;Altenburger Land;Personen;Anzahl;87387;e
__________
"Nachrichtlich aus dem Gemeindeverzeichnis GV-ISys:
Gemeindefläche zum 31.12.2011. Bei Gebietsneugliederungen
nach dem Zensusstichtag (9. Mai 2011) Fläche zum
31.12.2010. Die Angaben dienen zur Berechnung der
Bevölkerungsdichte der Gemeinden. 
Da nur bewohnte Gebiete nachgewiesen werden, ergibt sich
nicht die vollständige Kreis-, Landes oder Bundessumme. 
Die Angaben unterliegen keiner datenverändernden
Geheimhaltung.

Die Bevölkerungsdichte berechnet sich durch Division der
Einwohnerzahl durch die Fläche und wird in Einwohner pro
km² ausgegeben. Dabei wird die Amtliche Einwohnerzahl aus
dem Zensus und die Fläche aus dem Gemeindeverzeichnis
GV-ISys zur Berechnung verwendet.
Die Angaben unterliegen keiner datenverändernden
Geheimhaltung."
© Statistische Ämter des Bundes und der Länder, Deutschland, 2024. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 28.07.2024 / 15:07:17
