regkey;name;population;level
010565687013;Ellerbek;4348;gemeinde
010565687032;Kummerfeld;2351;gemeinde
010565687040;Prisdorf;2299;gemeinde
010565687047;Tangstedt (Kreis Pinneberg);2231;gemeinde
010565690001;Appen;4818;gemeinde
010565690016;Groß Nordende;821;gemeinde
010565690019;Haselau;1128;gemeinde
010565690020;Haseldorf;1838;gemeinde
010565690023;Heidgraben;2730;gemeinde
010565690024;Heist;2832;gemeinde
010565690027;Hetlingen;1449;gemeinde
010565690028;Holm;3304;gemeinde
010565690036;Moorrege;4488;gemeinde
010565690037;Neuendeich;496;gemeinde
010570000000;Plön;129634;kreis
010570001001;Ascheberg (Holstein);3097;gemeinde
010570008008;Bönebüttel;2065;gemeinde
010570009009;Bösdorf;1247;gemeinde
010570057057;Stadt Plön;8889;gemeinde
010570062062;Stadt Preetz;16245;gemeinde
010570091091;Stadt Schwentinental;13905;gemeinde
010575727004;Behrensdorf (Ostsee);640;gemeinde
010575727007;Blekendorf;1634;gemeinde
010575727013;Dannau;585;gemeinde
010575727021;Giekau;997;gemeinde
010575727026;Helmstorf;302;gemeinde
010575727027;Högsdorf;397;gemeinde
010575727029;Hohenfelde (Kreis Plön);1018;gemeinde
010575727030;Hohwacht (Ostsee);817;gemeinde
010575727034;Kirchnüchel;191;gemeinde
010575727035;Klamp;640;gemeinde
010575727038;Kletkamp;90;gemeinde
010575727048;Stadt Lütjenburg;5259;gemeinde
010575727055;Panker;1453;gemeinde
010575727076;Schwartbuck;784;gemeinde
010575727082;Tröndel;363;gemeinde
010575739015;Dersau;956;gemeinde
010575739017;Dörnick;255;gemeinde
010575739022;Grebin;1004;gemeinde
010575739032;Kalübbe;574;gemeinde
010575739045;Lebrade;588;gemeinde
010575739053;Nehmten;293;gemeinde
010575739065;Rantzau;347;gemeinde
010575739067;Rathjensdorf;478;gemeinde
010575739089;Wittmoldt;164;gemeinde
010575747002;Barmissen;168;gemeinde
010575747010;Boksee;481;gemeinde
010575747011;Bothkamp;255;gemeinde
010575747023;Großbarkau;254;gemeinde
010575747031;Honigsee;457;gemeinde
010575747033;Kirchbarkau;813;gemeinde
010575747037;Klein Barkau;255;gemeinde
010575747042;Kühren;583;gemeinde
010575747046;Lehmkuhlen;1247;gemeinde
010575747047;Löptin;280;gemeinde
010575747054;Nettelsee;427;gemeinde
010575747058;Pohnsdorf;371;gemeinde
010575747059;Postfeld;423;gemeinde
010575747066;Rastorf;797;gemeinde
010575747070;Schellhorn;1521;gemeinde
010575747084;Wahlstorf (Kreis Plön);439;gemeinde
010575747086;Warnau;392;gemeinde
010575755003;Barsbek;565;gemeinde
010575755006;Bendfeld;201;gemeinde
010575755012;Brodersdorf;406;gemeinde
010575755018;Fahren;128;gemeinde
010575755020;Fiefbergen;530;gemeinde
010575755028;Höhndorf;462;gemeinde
010575755039;Köhn;757;gemeinde
010575755040;Krokau;414;gemeinde
010575755041;Krummbek;406;gemeinde
010575755043;Laboe;5412;gemeinde
010575755049;Lutterbek;330;gemeinde
010575755056;Passade;386;gemeinde
010575755060;Prasdorf;466;gemeinde
010575755063;Probsteierhagen;2319;gemeinde
010575755073;Schönberg (Holstein);6231;gemeinde
010575755078;Stakendorf;473;gemeinde
010575755079;Stein;812;gemeinde
010575755081;Stoltenberg;323;gemeinde
010575755087;Wendtorf;937;gemeinde
010575755088;Wisch (Kreis Plön);666;gemeinde
010575775016;Dobersdorf;1128;gemeinde
010575775044;Lammershagen;254;gemeinde
010575775050;Martensrade;934;gemeinde
010575775052;Mucheln;579;gemeinde
010575775072;Schlesen;574;gemeinde
010575775077;Selent;1708;gemeinde
010575775090;Fargau-Pratjau;744;gemeinde
010575782025;Heikendorf;8344;gemeinde
010575782051;Mönkeberg;4077;gemeinde
010575782074;Schönkirchen;6697;gemeinde
010575785005;Belau;385;gemeinde
010575785024;Großharrie;487;gemeinde
010575785068;Rendswühren;743;gemeinde
010575785069;Ruhwinkel;967;gemeinde
010575785071;Schillsdorf;850;gemeinde
010575785080;Stolpe (Kreis Plön);1270;gemeinde
010575785083;Tasdorf;336;gemeinde
010575785085;Wankendorf;2893;gemeinde
010580000000;Rendsburg-Eckernförde;275744;kreis
010580005005;Altenholz;9895;gemeinde
010580034034;Stadt Büdelsdorf;10452;gemeinde
010580043043;Stadt Eckernförde;21410;gemeinde
010580092092;Kronshagen;12212;gemeinde
010580135135;Stadt Rendsburg;29462;gemeinde
010580169169;Wasbek;2464;gemeinde
010585803001;Achterwehr;1071;gemeinde
010585803028;Bredenbek;1547;gemeinde
010585803050;Felde;2078;gemeinde
010585803093;Krummwisch;700;gemeinde
010585803104;Melsdorf;2077;gemeinde
010585803126;Ottendorf (Kreis Rendsburg-Eckernförde);999;gemeinde
010585803130;Quarnbek;1754;gemeinde
010585803171;Westensee;1558;gemeinde
010585822037;Dänischenhagen;3717;gemeinde
010585822116;Noer;877;gemeinde
010585822150;Schwedeneck;2843;gemeinde
010585822157;Strande;1448;gemeinde
010585824051;Felm;1224;gemeinde
010585824058;Gettorf;7565;gemeinde
010585824096;Lindau;1391;gemeinde
010585824110;Neudorf-Bornstein;1125;gemeinde
010585824112;Neuwittenbek;1164;gemeinde
010585824121;Osdorf;2616;gemeinde
010585824142;Schinkel;1030;gemeinde
010585824165;Tüttendorf;1311;gemeinde
010585830019;Böhnhusen;292;gemeinde
010585830053;Flintbek;7432;gemeinde
010585830145;Schönhorst;329;gemeinde
010585830160;Techelsdorf;142;gemeinde
010585833003;Alt Duvenstedt;1905;gemeinde
