Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
010535318010;Besenthal;Personen;Anzahl;92;e
010535318015;Bröthen;Personen;Anzahl;330;e
010535318020;Büchen;Personen;Anzahl;6366;e
010535318029;Fitzen;Personen;Anzahl;386;e
010535318035;Göttin;Personen;Anzahl;61;e
010535318046;Gudow;Personen;Anzahl;1745;e
010535318048;Güster;Personen;Anzahl;1296;e
010535318064;Klein Pampau;Personen;Anzahl;679;e
010535318080;Langenlehsten;Personen;Anzahl;173;e
010535318092;Müssen;Personen;Anzahl;1233;e
010535318104;Roseburg;Personen;Anzahl;544;e
010535318115;Schulendorf;Personen;Anzahl;452;e
010535318119;Siebeneichen;Personen;Anzahl;269;e
010535318126;Tramm (Kreis Herzogtum Lauenburg);Personen;Anzahl;323;e
010535318132;Witzeeze;Personen;Anzahl;917;e
010535323003;Aumühle;Personen;Anzahl;3200;e
010535323012;Börnsen;Personen;Anzahl;4773;e
010535323023;Dassendorf;Personen;Anzahl;3465;e
010535323028;Escheburg;Personen;Anzahl;3496;e
010535323050;Hamwarde;Personen;Anzahl;883;e
010535323053;Hohenhorn;Personen;Anzahl;537;e
010535323072;Kröppelshagen-Fahrendorf;Personen;Anzahl;1423;e
010535323131;Wiershop;Personen;Anzahl;212;e
010535323133;Wohltorf;Personen;Anzahl;2579;e
010535323135;Worth;Personen;Anzahl;170;e
010535343006;Basedow (Kreis Herzogtum Lauenburg);Personen;Anzahl;633;e
010535343019;Buchhorst;Personen;Anzahl;147;e
010535343022;Dalldorf;Personen;Anzahl;354;e
010535343058;Juliusburg;Personen;Anzahl;183;e
010535343073;Krüzen;Personen;Anzahl;358;e
010535343074;Krukow (Kreis Herzogtum Lauenburg);Personen;Anzahl;162;e
010535343082;Lanze;Personen;Anzahl;268;e
010535343087;Lütau;Personen;Anzahl;696;e
010535343111;Schnakenbek;Personen;Anzahl;912;e
010535343128;Wangelau;Personen;Anzahl;210;e
010535358001;Albsfelde;Personen;Anzahl;74;e
010535358004;Bäk;Personen;Anzahl;919;e
010535358016;Brunsmark;Personen;Anzahl;156;e
010535358018;Buchholz (Kreis Herzogtum Lauenburg);Personen;Anzahl;252;e
010535358026;Einhaus;Personen;Anzahl;447;e
010535358030;Fredeburg;Personen;Anzahl;47;e
010535358033;Giesensdorf;Personen;Anzahl;175;e
010535358040;Groß Disnack;Personen;Anzahl;84;e
010535358041;Groß Grönau;Personen;Anzahl;3764;e
010535358043;Groß Sarau;Personen;Anzahl;1052;e
010535358051;Harmsdorf (Kreis Herzogtum Lauenburg);Personen;Anzahl;314;e
010535358054;Hollenbek;Personen;Anzahl;472;e
010535358057;Horst;Personen;Anzahl;277;e
010535358062;Kittlitz;Personen;Anzahl;299;e
010535358066;Klein Zecher;Personen;Anzahl;247;e
010535358078;Kulpin;Personen;Anzahl;210;e
010535358088;Mechow;Personen;Anzahl;141;e
010535358093;Mustin (Kreis Herzogtum Lauenburg);Personen;Anzahl;732;e
010535358098;Pogeez;Personen;Anzahl;510;e
010535358102;Römnitz;Personen;Anzahl;49;e
010535358107;Salem (Kreis Herzogtum Lauenburg);Personen;Anzahl;693;e
010535358110;Schmilau;Personen;Anzahl;572;e
010535358117;Seedorf (Kreis Herzogtum Lauenburg);Personen;Anzahl;595;e
010535358123;Sterley;Personen;Anzahl;927;e
010535358136;Ziethen (Kreis Herzogtum Lauenburg);Personen;Anzahl;1157;e
010535373007;Basthorst;Personen;Anzahl;437;e
010535373017;Brunstorf;Personen;Anzahl;783;e
010535373021;Dahmker;Personen;Anzahl;157;e
010535373027;Elmenhorst (Kreis Herzogtum Lauenburg);Personen;Anzahl;881;e
010535373031;Fuhlenhagen;Personen;Anzahl;389;e
010535373036;Grabau (Kreis Herzogtum Lauenburg);Personen;Anzahl;363;e
010535373042;Groß Pampau;Personen;Anzahl;175;e
010535373045;Grove;Personen;Anzahl;263;e
010535373047;Gülzow (Kreis Herzogtum Lauenburg);Personen;Anzahl;1368;e
010535373049;Hamfelde (Kreis Herzogtum Lauenburg);Personen;Anzahl;505;e
010535373052;Havekost;Personen;Anzahl;194;e
010535373059;Kankelau;Personen;Anzahl;231;e
010535373060;Kasseburg;Personen;Anzahl;578;e
010535373070;Köthel (Kreis Herzogtum Lauenburg);Personen;Anzahl;301;e
010535373071;Kollow;Personen;Anzahl;622;e
010535373076;Kuddewörde;Personen;Anzahl;1707;e
010535373089;Möhnsen;Personen;Anzahl;554;e
010535373091;Mühlenrade;Personen;Anzahl;206;e
010535373106;Sahms;Personen;Anzahl;460;e
010535391025;Duvensee;Personen;Anzahl;554;e
010535391038;Grinau;Personen;Anzahl;288;e
010535391039;Groß Boden;Personen;Anzahl;213;e
010535391044;Groß Schenkenberg;Personen;Anzahl;572;e
010535391068;Klinkrade;Personen;Anzahl;614;e
010535391069;Koberg;Personen;Anzahl;791;e
010535391077;Kühsen;Personen;Anzahl;358;e
010535391079;Labenz;Personen;Anzahl;882;e
010535391081;Lankau;Personen;Anzahl;462;e
010535391085;Linau;Personen;Anzahl;1222;e
010535391086;Lüchow;Personen;Anzahl;307;e
010535391096;Nusse;Personen;Anzahl;1176;e
010535391097;Panten;Personen;Anzahl;651;e
010535391099;Poggensee;Personen;Anzahl;363;e
010535391101;Ritzerau;Personen;Anzahl;307;e
010535391108;Sandesneben;Personen;Anzahl;1886;e
010535391109;Schiphorst;Personen;Anzahl;681;e
010535391112;Schönberg (Kreis Herzogtum Lauenburg);Personen;Anzahl;1449;e
